experiment_date,animal_name,experiment_outcome,run_preprocessing,run_ephys_analysis,load_for_data_pool,best_fm_rec,unit2highlight,current_status,animal_dirpath,computer,drive,day_post_implant,probe_type,manipulation,num_single_units,Visually responsive units?,noise notes (any noise?),drift notes (large drift?),wn experiment and analysis notes,sparsenoiseflash experiment and analysis notes,gratings experiment and analysis notes notes,fm experiment and analysis notes,other analysis notes,Full analysis status (finished/incomplete),other
1/26/21,EE8P6LT,good,FALSE,FALSE,TRUE,,1,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\012621\EE8P6LT,goeppert,nlab-nas,2,64ch,none,5,RFs fairly low and corner of screen but maybe ok,low noise,very little drift (<5um),,,,,,,
1/26/21,G6H30P3TT,not useful,FALSE,FALSE,FALSE,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\012621\G6H30P3TT,goeppert,nlab-nas,2,16ch,none,0,no clear units,low noise,very little drift,,,,,,,
1/27/21,EE8P6LT,not useful,FALSE,FALSE,FALSE,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\012721\EE8P6LT,goeppert,nlab-nas,3,64ch,none,0,no units,possible noise issues (grounding?),"massive drift, kilosort cannot finish",,,,,,,
1/27/21,G6H30P3TT,not useful,FALSE,FALSE,FALSE,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\012721\G6H30P3TT,goeppert,nlab-nas,3,16ch,none,3,no clear RFs,low noise,no KS figures saved out,,,,,,,
1/28/21,EE8P6LT,good,FALSE,FALSE,TRUE,,0,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\012821\EE8P6LT,goeppert,nlab-nas,4,64ch,none,10,nicely centered RFs,low noise,very little drift (<5um),,,,,,,
2/1/21,EE13P1LT,not useful,FALSE,FALSE,FALSE,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\020121\EE13P1LT,goeppert,nlab-nas,1,64ch,none,9,no clear RFs,low noise,very little drift (<5um),,,,,,,
2/1/21,EE13P1RT,good,FALSE,FALSE,TRUE,,5,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\020121\EE13P1RT,goeppert,nlab-nas,1,16ch,none,3,nicely centered RFs,low noise,very little drift,,,,,,,
2/2/21,EE13P1LT,not useful,FALSE,FALSE,FALSE,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\020221\EE13P1LT,goeppert,nlab-nas,2,64ch,none,9,no clear RFs,low noise,very little drift (<5um),,,,,,,
2/2/21,EE13P1RT,not useful,FALSE,FALSE,FALSE,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\020221\EE13P1RT,goeppert,nlab-nas,2,16ch,none,0,no units,low noise,very little drift,,,,,,,
2/3/21,EE13P1LT,not useful,FALSE,FALSE,FALSE,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\020321\EE13P1LT,goeppert,nlab-nas,3,64ch,DOI/saline?,5,no clear RFs,low noise,some drift (+/- 10um),,,,,,,
2/3/21,EE13P1RT,good,TRUE,TRUE,TRUE,,1,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\020321\EE13P1RT,goeppert,nlab-nas,3,16ch,none,1 sbc,weak RFs,low noise,some drift,,,,,,,
2/4/21,EE13P1LT,not useful,FALSE,FALSE,FALSE,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\020421\EE13P1LT,goeppert,nlab-nas,4,64ch,DOI/saline?,2,no clear RFs,low noise,some drift (+/- 10um),,,,,,,
2/4/21,EE13P1RT,good,TRUE,TRUE,TRUE,,3,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\020421\EE13P1RT,goeppert,nlab-nas,4,16ch,none,"5-10, 1 sbc",weak RFs,low noise,very little drift,,,,,,,
2/8/21,EE12P1RN,good,FALSE,FALSE,TRUE,,7,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\020821\EE12P1RN,goeppert,nlab-nas,1,64ch,none,30,"clear RFs, a bit low on monitor",low noise,very little drift (<5um),,,,,,,
2/8/21,EE12P1NN,not useful,FALSE,FALSE,FALSE,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\020821\EE12P1NN,goeppert,nlab-nas,1,16ch,none,2,no clear RFs,low noise,very little drift,,,,,,,
2/9/21,EE12P1RN,good,FALSE,FALSE,TRUE,,5,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\020921\EE12P1RN,goeppert,nlab-nas,2,64ch,none,5-10,good RFs,low noise,very little drift (<5um),,,,,,,
2/9/21,EE12P1NN,good,FALSE,FALSE,TRUE,,1,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\020921\EE12P1NN,goeppert,nlab-nas,2,16ch,none,5,good RFs,low noise,some drift,,,,,,,
2/10/21,EE12P1RN,uncertain,FALSE,FALSE,FALSE,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\021021\EE12P1RN,goeppert,nlab-nas,3,64ch,DOI/saline?,5-10,no clear RFs,low noise,very little drift (<5um),,,,,,,
2/10/21,EE12P1NN,ask dylan about split_ephys error,FALSE,FALSE,FALSE,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\021021\EE12P1NN,goeppert,nlab-nas,3,16ch,none,,,,,,,,,,,
2/11/21,EE12P1RN,uncertain,FALSE,FALSE,FALSE,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\021121\EE12P1RN,goeppert,nlab-nas,4,64ch,DOI/saline?,5-10,no clear RFs,low noise,some drift (+/- 10um),,,,,,,
2/11/21,EE12P1NN,good,TRUE,TRUE,TRUE,,0,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\021121\EE12P1NN,goeppert,nlab-nas,4,16ch,none,2,clear RFs,low noise,some drift,,,,,,,
