Experiment date,Animal name,Experiment outcome,run_preproc,run_ephys,rec_types,unit2highlight,Current Status,"Data location (i.e. V2/Kraken, drive)",Computer,Drive,Day post-implant,Probe type (e.g. 64ch),Manipulation,Approx # single units,Visually responsive units?,noise notes (any noise?),drift notes (large drift?),wn experiment and analysis notes,sparsenoiseflash experiment and analysis notes,gratings experiment and analysis notes notes,fm experiment and analysis notes,other analysis notes,Full analysis status (finished/incomplete),other
1/27/21,EE8P6LT,not useful,FALSE,FALSE,,,,\\kraken\T\freely_moving_ephys\ephys_recordings\012721\EE8P6LT,Kraken,T,3,64ch,none,0,no units,possible noise issues (grounding?),"massive drift, kilosort cannot finish",,,,,,,
1/27/21,G6H30P3TT,not useful,FALSE,FALSE,,,,\\niell-v2-w7\T\freely_moving_ephys\ephys_recordings\012721\G6H30P3TT,Niell-V2-W7,T,3,16ch,none,3,no clear RFs,low noise,no KS figures saved out,,,,,,,
1/28/21,EE8P6LT,good,TRUE,TRUE,"012821_EE8P6LT_control_Rig2_fm1, 012821_EE8P6LT_control_Rig2_hf1_wn, 012821_EE8P6LT_control_Rig2_hf2_sprasenoiseflash, 012821_EE8P6LT_control_Rig2_hf3_gratings, 012821_EE8P6LT_control_Rig2_hf4_revchecker",0,,\\kraken\t\freely_moving_ephys\ephys_recordings\012821\EE8P6LT,Kraken,T,4,64ch,none,10,nicely centered RFs,low noise,very little drift (<5um),,,,,,,
2/1/21,EE13P1LT,not useful,FALSE,FALSE,,,,kraken T drive,Kraken,T,1,64ch,none,9,no clear RFs,low noise,very little drift (<5um),,,,,,,
2/1/21,EE13P1RT,good,TRUE,TRUE,"020121_EE13P1RT_control_Rig2_fm1, 020121_EE13P1RT_control_Rig2_hf1_wn, 020121_EE13P1RT_control_Rig2_hf2_sparsenoiseflash, 020121_EE13P1RT_control_Rig2_hf3_gratings, 020121_EE13P1RT_control_Rig2_hf4_revchecker",5,,\\niell-v2-w7\T\freely_moving_ephys\ephys_recordings\020121\EE13P1RT,Niell-V2-W7,T,1,16ch,none,3,nicely centered RFs,low noise,very little drift,,,,,,,
2/2/21,EE13P1LT,not useful,FALSE,FALSE,,,,kraken T drive,Kraken,T,2,64ch,none,9,no clear RFs,low noise,very little drift (<5um),,,,,,,
2/2/21,EE13P1RT,not useful,FALSE,FALSE,,,,V2 T drive,Niell-V2-W7,T,2,16ch,none,0,no units,low noise,very little drift,,,,,,,
2/3/21,EE13P1LT,not useful,FALSE,FALSE,,,,kraken T drive,Kraken,T,3,64ch,DOI/saline?,5,no clear RFs,low noise,some drift (+/- 10um),,,,,,,
2/3/21,EE13P1RT,good,TRUE,TRUE,"020321_EE13P1RT_control_Rig2_fm1, 020321_EE13P1RT_control_Rig2_hf1_wn",1,,\\niell-v2-w7\T\freely_moving_ephys\ephys_recordings\020321\EE13P1RT,Niell-V2-W7,T,3,16ch,none,1 sbc,weak RFs,low noise,some drift,,,,,,,
2/4/21,EE13P1LT,not useful,FALSE,FALSE,,,,kraken T drive,Kraken,T,4,64ch,DOI/saline?,2,no clear RFs,low noise,some drift (+/- 10um),,,,,,,
2/4/21,EE13P1RT,good,TRUE,TRUE,"020421_EE13P1RT_control_Rig2_fm1, 020421_EE13P1RT_control_Rig2_hf1_wn, 020421_EE13P1RT_control_Rig2_hf2_sparsenoiseflash, 020421_EE13P1RT_control_Rig2_hf3_gratings, 020421_EE13P1RT_control_Rig2_hf4_revchecker",3,,\\niell-v2-w7\t\freely_moving_ephys\ephys_recordings\020421\EE13P1RT,Niell-V2-W7,T,4,16ch,none,"5-10, 1 sbc",weak RFs,low noise,very little drift,,,,,,,
2/8/21,EE12P1RN,good,TRUE,TRUE,"020821_EE12P1RN_control_Rig2_fm1, 020821_EE12P1RN_control_Rig2_hf1_wn, 020821_EE12P1RN_control_Rig2_hf2_sparsenoiseflash, 020821_EE12P1RN_control_Rig2_hf3_gratings, 020821_EE12P1RN_control_Rig2_hf4_revchecker",7,,\\kraken\t\freely_moving_ephys\ephys_recordings\020821\EE12P1RN,Kraken,T,1,64ch,none,30,"clear RFs, a bit low on monitor",low noise,very little drift (<5um),,,,,,,
2/8/21,EE12P1NN,not useful,FALSE,FALSE,,,,V2 T drive,Niell-V2-W7,T,1,16ch,none,2,no clear RFs,low noise,very little drift,,,,,,,
2/9/21,EE12P1RN,good,TRUE,TRUE,"020921_EE12P1RN_control_Rig2_fm1, 020921_EE12P1RN_control_Rig2_hf1_wn, 020921_EE12P1RN_control_Rig2_hf2_sprasenoiseflash, 020921_EE12P1RN_control_Rig2_hf3_gratings, 020921_EE12P1RN_control_Rig2_hf4_revchecker",5,,\\kraken\t\freely_moving_ephys\ephys_recordings\020921\EE12P1RN,Kraken,T,2,64ch,none,5-10,good RFs,low noise,very little drift (<5um),,,,,,,
2/9/21,EE12P1NN,good,TRUE,TRUE,"020921_EE12P1NN_control_Rig2_fm1, 020921_EE12P1NN_control_Rig2_hf1_wn, 020921_EE12P1NN_control_Rig2_hf2_sparsenoiseflash, 020921_EE12P1NN_control_Rig2_hf3_gratings, 020921_EE12P1NN_control_Rig2_hf4_revchecker",1,,\\niell-v2-w7\t\freely_moving_ephys\ephys_recordings\020921\EE12P1NN,Niell-V2-W7,T,2,16ch,none,5,good RFs,low noise,some drift,,,,,,,
2/10/21,EE12P1RN,uncertain,FALSE,FALSE,,,,kraken T drive,Kraken,T,3,64ch,DOI/saline?,5-10,no clear RFs,low noise,very little drift (<5um),,,,,,,
2/10/21,EE12P1NN,ask dylan about split_ephys error,FALSE,FALSE,,,,V2 T drive,Niell-V2-W7,T,3,16ch,none,,,,,,,,,,,
2/11/21,EE12P1RN,uncertain,FALSE,FALSE,,,,kraken T drive,Kraken,T,4,64ch,DOI/saline?,5-10,no clear RFs,low noise,some drift (+/- 10um),,,,,,,
